ColonyID,Species,Site,Bleach,Date,Biopsy?,Fragment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Porites compressa,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Porites compressa,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Porites compressa,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Porites compressa,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Porites compressa,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Porites compressa,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Porites compressa,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Porites compressa,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Porites compressa,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Porites compressa,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
